fid,adep,ades,our_callsign,bra_callsign,our_first_time,our_last_time,bra_time,time_diff_min,match_method,n_positions,bra_hfe_v1,bra_hfe_v2,bra_dist_flown_v1,bra_dist_flown_v2,bra_dist_achieved_v1,bra_dist_achieved_v2,bra_equip
0,SBKP,SBCF,ACN5990,NA,2025-12-10T19:20:48Z,2025-12-10T21:13:35Z,2025-12-10T19:21:19Z,0.5166666666666667,callsign,1311,2.10889059397171,2.45158755911718,193.669264258547,132.823212822873,189.669345276366,129.644855670226,C208
1,SBKP,SBCF,AZU2607,NA,2025-12-10T15:48:06Z,2025-12-10T16:45:11Z,2025-12-10T15:48:34Z,0.4666666666666667,callsign,831,5.33190207988187,5.32044462572758,201.828631747662,140.068033234018,191.612064115769,132.992254003267,E295
4,SBKP,SBCF,AZU2658,NA,2025-12-10T11:31:11Z,2025-12-10T12:24:31Z,2025-12-10T11:31:41Z,0.5,callsign,787,5.93108265958309,5.70010732890734,202.282674351651,140.38690248816,190.956864853067,132.816234567594,E295
5,SBKP,SBCF,AZU2920,NA,2025-12-10T22:26:33Z,2025-12-10T23:19:02Z,2025-12-10T22:26:46Z,0.21666666666666667,callsign,776,8.81134724954176,8.08683455891339,208.285152717382,143.553340258481,191.4185955622,132.812974720095,E295
6,SBSP,SBCF,AZU4030,NA,2025-12-10T09:11:54Z,2025-12-10T10:13:12Z,2025-12-10T09:11:55Z,0.016666666666666666,callsign,905,3.72837193313485,4.00836745353569,213.36477465371,151.577895821569,205.695674845112,145.736251354281,A20N
7,SBKP,SBCF,AZU4043,NA,2025-12-10T09:33:00Z,2025-12-10T10:33:18Z,2025-12-10T09:33:27Z,0.45,callsign,889,5.7246780019731,5.37271359233733,202.031385950602,140.101601952043,191.091985115179,132.958141795668,E195
8,SBKP,SBCF,AZU4045,NA,2025-12-10T13:43:11Z,2025-12-10T14:35:10Z,2025-12-10T13:43:26Z,0.25,callsign,765,5.62648719983351,5.69768965616474,201.701653930448,140.372541201162,190.957457052274,132.805685401256,E295
9,SBCF,SBKP,AZU4046,NA,2025-12-10T20:36:02Z,2025-12-10T21:34:24Z,2025-12-10T20:36:09Z,0.11666666666666667,callsign,862,4.06933114610751,5.08263831124721,200.777740716574,140.363696819705,192.926906039871,133.574583847008,E295
10,SBCF,SBKP,AZU4082,NA,2025-12-10T01:23:28Z,2025-12-10T02:34:21Z,2025-12-10T01:23:23Z,0.08333333333333333,callsign,558,7.65468663648767,8.12430612720877,207.754780547447,146.479554622338,192.982569582839,135.473289835501,E195
11,SBCF,SBKP,AZU4096,NA,2025-12-10T11:40:59Z,2025-12-10T12:37:01Z,2025-12-10T11:41:34Z,0.5833333333333334,callsign,828,6.35684326743981,7.41145435986795,205.024096891725,144.188858149966,192.770009519915,134.239741012053,E295
